episodes,rewards,ma_rewards
163,-368.3612499655122,-384.58194211244125
164,-370.2484826611578,-383.1485961673129
165,-462.87366262431567,-391.12110281301324
166,-116.60351798039147,-363.669344329751
167,-633.4347698263675,-390.6458868794127
168,-224.19833201060538,-374.00113139253205
169,-259.58871800434196,-362.55989005371305
170,-376.5749101273089,-363.9613920610726
171,-381.5670244313888,-365.72195529810426
172,-121.50234900734844,-341.2999946690287
173,-373.1741690359375,-344.4874121057196
174,-254.40469959827024,-335.47914085497473
175,-380.6715216090449,-339.99837893038176
176,-482.5235527164416,-354.25089630898776
177,-474.84380190955517,-366.3101868690445
178,-223.71257056114186,-352.05042523825426
179,-499.4863911798312,-366.794021832412
180,-382.30901937678044,-368.34552158684886
181,-500.35217254469995,-381.546186682634
182,-640.1789391749426,-407.40946193186494
183,-255.14031793224183,-392.1825475319027
184,-380.75867045869006,-391.04015982458145
185,-631.7464796702872,-415.11079180915203
186,-490.69019222232265,-422.6687318504691
187,-128.48652746149773,-393.25051141157195
188,-468.15106894111534,-400.7405671645263
189,-247.7905806721278,-385.4455685152864
190,-367.5694052828794,-383.65795219204574
191,-248.26740121521365,-370.1188970943625
192,-318.97928166341615,-365.0049355512679
193,-242.88624287414373,-352.7930662835555
194,-6.680773291937758,-318.1818369843937
195,-254.10015503028674,-311.773668788983
196,-292.3024817123372,-309.82655008131843
197,-593.7945132990006,-338.2233464030867
198,-369.0237632965152,-341.30338809242954
199,-124.82444536372678,-319.65549381955924
200,-365.3542406707194,-324.22536850467526
201,-233.96805476631468,-315.1996371308392
202,-369.2532009672981,-320.6049935144851
203,-499.5741825473769,-338.5019124177743
204,-616.2609857387264,-366.27781974986954
205,-128.28560348213213,-342.4785981230958
206,-2.5472767015797655,-308.48546598094424
207,-306.91055815177856,-308.3279751980277
208,-359.8698971393059,-313.48216739215553
209,-620.360346984026,-344.1699853513426
210,-125.35219870514733,-322.288206686723
211,-130.84009060274622,-303.14339507832534
212,-254.3375218492909,-298.26280775542193
213,-121.9970300778061,-280.6362299876604
214,-477.1672658782981,-300.2893335767242
215,-410.3003771666346,-311.2904379357152
216,-231.42120914480586,-303.3035150566243
217,-369.2352941323174,-309.8966929641936
218,-504.3274043178377,-329.339764099558
219,-244.12421452929297,-320.81820914253154
220,-255.07038833809713,-314.2434270620881
221,-121.8627223450088,-295.0053565903802
222,-620.0479580434948,-327.5096167356917
223,-370.9885858842198,-331.8575136505445
224,-241.45661172865354,-322.8174234583554
225,-246.2071498311052,-315.1563960956304
226,-373.5381777290606,-320.9945742589734
227,-256.69986406605534,-314.56510323968155
228,-134.32726116030557,-296.54131903174397
229,-381.34223701460644,-305.0214108300302
230,-492.9351535023942,-323.8127850972666
231,-725.1758401405706,-363.94909060159705
232,-120.66438245448093,-339.6206197868854
233,-350.16895438728636,-340.6754532469255
234,-488.90557361412135,-355.49846528364503
235,-380.7315177735601,-358.0217705326366
236,-497.55393518489575,-371.9749869978625
237,-253.06827205226722,-360.084315503303
238,-372.11362954622075,-361.2872469075948
239,-357.9909269835962,-360.95761491519494
240,-382.28970084367756,-363.0908235080432
241,-378.47576866316507,-364.62931802355536
242,-601.8925047121071,-388.35563669241054
243,-622.8525095531262,-411.80532397848214
244,-492.2451335279505,-419.849304933429
245,-504.0269737087259,-428.26707181095867
246,-502.628353088514,-435.7031999387142
247,-257.6908720699519,-417.901967151838
248,-253.93556679814745,-401.50532711646895
249,-369.0411814255541,-398.2589125473775
250,-123.94090302684181,-370.8271115953239
251,-501.5611020842015,-383.9005106442117
252,-620.7738709826085,-407.5878466780514
253,-255.7712685334276,-392.406188863589
